"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Artificial Intelligence (AI) for the early detection of breast cancer: a scoping review to assess AI's potential in breast screening practice","https://scispace.com/paper/artificial-intelligence-ai-for-the-early-detection-of-breast-1mhmcld837","2019","Journal Article","Expert Review of Medical Devices","Nehmat Houssami
Georgia Kirkpatrick-Jones
Naomi Noguchi
Christoph I. Lee","10.1080/17434440.2019.1610387","https://www.tandfonline.com/doi/pdf/10.1080/17434440.2019.1610387","- **Relevance Score:** 10/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Review summarizes AI applications but provides no original model, metrics, multimodal integration, or direct comparative experiments.","Introduction: Various factors are driving interest in the application of artificial intelligence (AI) for breast cancer (BC) detection, but it is unclear whether the evidence warrants large-scale u..."
"Artificial intelligence in healthcare and medicine: clinical applications, therapeutic advances, and future perspectives","https://scispace.com/paper/artificial-intelligence-in-healthcare-and-medicine-clinical-abdd6ugfn0zq","2025","Journal Article","European Journal of Medical Research","Yosri A. Fahim
Ibrahim W. Hasani
Samer Kabba
Waleed Mahmoud Ragab","10.1186/s40001-025-03196-w","https://scispace.compdf/artificial-intelligence-in-healthcare-and-medicine-clinical-abdd6ugfn0zq.pdf","- **Relevance Score:** 10/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Mentions AI improving imaging sensitivity for cancer but lacks specific AUC/sensitivity/specificity results, no genomics integration, and no direct model comparisons.","Abstract Healthcare systems worldwide face growing challenges, including rising costs, workforce shortages, and disparities in access and quality, particularly in low- and middle-income countries. Artificial intelligence (AI) has emerged as a transformative tool capable of addressing these issues by enhancing diagnostics, treatment planning, patient monitoring, and healthcare efficiency. AI’s role in modern medicine spans disease detection, personalized care, drug discovery, predictive analytics, telemedicine, and wearable health technologies. Leveraging machine learning and deep learning, AI can analyze complex data sets, including electronic health records, medical imaging, and genomic profiles, to identify patterns, predict disease progression, and recommend optimized treatment strategies. AI also has the potential to promote equity by enabling cost-effective, resource-efficient solutions in low-resource and remote settings, such as mobile diagnostics, wearable biosensors, and lightweight algorithms. Successful deployment requires addressing critical challenges, including data privacy, algorithmic bias, model interpretability, regulatory oversight, and maintaining human clinical oversight. Emphasizing scalable, ethical, and evidence-driven implementation, key strategies include clinician training in AI literacy, adoption of resource efficient tools, global collaboration, and robust regulatory frameworks to ensure transparency, safety, and accountability. By complementing rather than replacing healthcare professionals, AI can reduce errors, optimize resources, improve patient outcomes, and expand access to quality care. This review emphasizes the responsible integration of AI as a powerful catalyst for innovation, sustainability, and equity in healthcare delivery worldwide. "
"Advancing Early Disease Detection with AI: Innovations in Medical Imaging, EHR Analytics, and Wearable Technologies","https://scispace.com/paper/advancing-early-disease-detection-with-ai-innovations-in-odowjov2qbb9","2025","Journal Article","International Journal of Life Science Research Archive","Ifeanyi Kingsley Egbuna
Nyerovwo Charity Okei
Esther Edesiri Ajoku
Osahenrumwen Edobor
Peter Paul Issah
Tobiloba Philip Olatokun
Aminat Oluwatimileyin Akinode","10.53771/ijlsra.2025.9.1.0049","","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Review discusses AI in cancer imaging but lacks original model, metrics, genomics integration, or direct comparative experiments.","Artificial intelligence (AI) has transformed early disease detection by leveraging medical imaging, electronic health record (EHR) analytics, and wearable technologies, enabling timely interventions for high-burden conditions such as cancer, cardiovascular diseases, and neurodegenerative disorders. This review takes a deep look into recent research advancements, highlighting AI’s role in enhancing diagnostic precision and shifting healthcare toward prevention. Medical imaging systems, powered by deep learning, achieve high sensitivity in detecting malignancies like breast and lung cancer, while EHR analytics predict chronic diseases such as diabetes and heart failure years in advance using structured and unstructured clinical data. Wearable devices, equipped with sensors for heart rate and oxygen saturation, provide real-time monitoring for conditions like atrial fibrillation and respiratory distress, demonstrating global impact in applications like COVID-19 screening. Multi-modal AI systems integrate these technologies to deliver comprehensive risk assessments, improving accuracy and personalization. Real-world case studies, including large-scale cancer screening in Asia and wearable-based monitoring in the US, underscore AI’s potential to reduce healthcare costs and improve outcomes. However, challenges such as data bias, privacy concerns, interoperability issues, and regulatory hurdles limit widespread adoption. Future directions include developing transparent, interoperable AI systems and inclusive datasets to ensure equitable access, particularly in low-resource settings. By addressing these barriers through interdisciplinary collaboration, AI-driven early detection can revolutionize preventive healthcare, delivering accurate, accessible, and equitable diagnostics worldwide. "
"Advancing Early Detection Paradigms in Breast Cancer: A Systematic Review of Machine Learning Approaches","https://scispace.com/paper/advancing-early-detection-paradigms-in-breast-cancer-a-jgu4556dnb93","2025","Repository","","Kumar D Kumar D
ARUNACHALAM G","10.5281/zenodo.15095972","","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Review summarizes many AI methods but provides no original performance metrics, no direct multimodal imaging‑genomics experiments, and no head‑to‑head model comparisons.","Early detection of breast cancer remains crucial for improving patient outcomes and survival rates. With the advent of computational approaches, machine learning (ML) has emerged as a powerful tool in the medical diagnostic arsenal. This review comprehensively examines recent advances in machine learning algorithms for early breast cancer detection across multiple imaging modalities and bimolecular approaches. We systematically analyze supervised learning techniques (support vector machines, random forests, and neural networks), deep learning architectures, ensemble methods, and emerging hybrid approaches. The review evaluates their performance metrics, clinical validation status, and integration challenges in healthcare workflows. Current limitations and promising research directions are discussed, with particular emphasis on explain ability, robustness, and the integration of multimodal data sources. This systematic overview provides valuable insights for researchers, clinicians, and healthcare technologists navigating the rapidly evolving landscape of AI-augmented breast cancer diagnostics, highlighting the transformative potential of machine learning in early detection paradigms. "
"Artificial intelligence, omics, and biomarkers: Redefining lung cancer early detection.","https://scispace.com/paper/42105533","2026","Journal Article","Current problems in cancer","Nizam
Shireen
Hasan
Singh
Farooqui
Naithani
Farooqi","10.1016/j.currproblcancer.2026.101312","","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Review discusses AI, omics, and biomarkers broadly but lacks original AI model, quantitative AUC/sensitivity/specificity, multimodal imaging‑genomics experiments, or direct comparative performance analysis.","Lung cancer, the leading cause of death worldwide, claims millions of lives yearly, largely due to limited early interventions. Currently used lung cancer screening methods are still limited in their reach and accuracy due to invasiveness, radiation exposure, and low sensitivity, especially in early stages, necessitating the need for innovative technologies. This review examines emerging tools for the early detection of lung cancer, utilizing biomarkers in conjunction with omics approaches and AI technology, which could significantly impact its clinical landscape. Tumor cells release specific biological indicators called biomarkers, which can be cellular components, nucleic acid fragments, protein fragments, or metabolites, detected from bodily fluids through non-invasive methods. The integration of biomarkers with omics technologies (such as proteomics and genomics) or multi-omics provides a comprehensive insight into the molecular profiles of various cancer subtypes and stages. Artificial intelligence, including machine learning and deep learning tools, further increases the accuracy and precision of these techniques. However, challenges still persist in its clinical translation, including technical limitations, regulatory hurdles and ethical concerns. Overcoming these limitations requires standardised protocols, interdisciplinary collaborations, and strategies for equitable access to innovative technologies. Novel, cutting-edge technological interventions, such as advanced imaging techniques, sensor technology, nanotechnology, breathomics, and microbiome analysis, have the potential to enhance early lung cancer diagnosis, ultimately improving patient outcomes and reducing the global burden of this disease."
"Circulating tumor cell detection in cancer patients using in-flow deep learning holography.","https://scispace.com/paper/41993926","2026","Journal Article","Npj biosensing","Mallery
Bristow
Heller
Travadi
Arafa
Kamalanathan
Galeano-Garces
Ahmadi
Schaap
Hesch
Hedeen
Izuora
Hapke
Miller
Viswanathan
Babris
Bae
Bhattacharya
Le
Clacko
Antonarakis
Konety
Drake
Hong","10.1038/s44328-026-00084-z","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13079088/pdf","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses deep learning on holographic and fluorescence data for CTC counting, but lacks AUC/sensitivity/specificity metrics, no genomics integration, and only minimal baseline comparison.","Circulating tumor cells (CTCs) are cancer cells found in the bloodstream that serve as biomarkers for early cancer detection, prognostication, and disease monitoring. However, CTC detection remains challenging due to low cell abundance and heterogeneity. Digital holographic microscopy (DHM) offers a promising, label-free method for high-throughput CTC identification by capturing superior morphological information compared to traditional imaging methods, while remaining compatible with in-flow data acquisition. We present a streamlined DHM-based system that integrates microfluidic enrichment with deep learning-driven image analysis, supplemented by immunofluorescent profiling, to improve sensitivity and specificity of CTC enumeration. Specifically, our platform combines inertial microfluidic preprocessing with dual-modality imaging, integrating holography with fluorescence sensing of up to two markers. A deep learning model, trained on a diverse set of healthy blood samples and cancer cell lines, and executed in real-time, provides a morphological confidence on a cell-by-cell basis that may then be combined with immunofluorescence criteria for enumeration. In a pilot study, we demonstrate higher CTC counts in patients with late-stage prostate cancer ("
"Artificial Intelligence in Ovarian Cancer Histopathology: A Systematic Review","https://scispace.com/paper/http://arxiv.org/abs/2303.18005v2","2023","Preprint","","Jack Breen
Katie Allen
Kieran Zucker
Pratik Adusumilli
Andy Scarsbrook
Geoff Hall
Nicolas M. Orsi
Nishant Ravikumar","","https://arxiv.org/pdf/2303.18005v2","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Systematic review summarizes AI histopathology models without original performance metrics, lacks genomics data, and only provides indirect model comparisons.","Purpose - To characterise and assess the quality of published research evaluating artificial intelligence (AI) methods for ovarian cancer diagnosis or prognosis using histopathology data. Methods - A search of PubMed, Scopus, Web of Science, CENTRAL, and WHO-ICTRP was conducted up to 19/05/2023. The inclusion criteria required that research evaluated AI on histopathology images for diagnostic or prognostic inferences in ovarian cancer. The risk of bias was assessed using PROBAST. Information about each model of interest was tabulated and summary statistics were reported. PRISMA 2020 reporting guidelines were followed. Results - 1573 records were identified, of which 45 were eligible for inclusion. There were 80 models of interest, including 37 diagnostic models, 22 prognostic models, and 21 models with other diagnostically relevant outcomes. Models were developed using 1-1375 slides from 1-776 ovarian cancer patients. Model outcomes included treatment response (11/80), malignancy status (10/80), stain quantity (9/80), and histological subtype (7/80). All models were found to be at high or unclear risk of bias overall, with most research having a high risk of bias in the analysis and a lack of clarity regarding participants and predictors in the study. Research frequently suffered from insufficient reporting and limited validation using small sample sizes. Conclusion - Limited research has been conducted on the application of AI to histopathology images for diagnostic or prognostic purposes in ovarian cancer, and none of the associated models have been demonstrated to be ready for real-world implementation. Key aspects to help ensure clinical translation include more transparent and comprehensive reporting of data provenance and modelling approaches, as well as improved quantitative performance evaluation using cross-validation and external validations."
"Deep learning applications in clinical cancer detection: a review of implementation challenges and solutions","https://scispace.com/paper/deep-learning-applications-in-clinical-cancer-detection-a-7p7021clu1h8","2025","Journal Article","Mayo Clinic proceedings. Digital health","Ignace Yao
Min Dong
William Ying Khee Hwang","10.1016/j.mcpdig.2025.100253","","- **Relevance Score:** 6/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Review summarizes many studies but provides no original AI model, no reported AUC/sensitivity/specificity, and only discusses multimodal integration and comparisons in literature rather than presenting new experimental results.","Deep learning (DL) has revolutionized cancer detection accuracy, speed, and accessibility. Leveraging sophisticated algorithms, DL has demonstrated transformative potential across diverse applications, including imaging-based diagnostics and genomic analysis, ultimately leading to better detection, improved patient treatment outcomes, and decreased overall mortality rates. Despite its promise, integrating DL into clinical practice presents substantial challenges, including limitations in data quality and standardization, as well as ethical and regulatory concerns, and the need for model interpretability and transparency. This review provides a comprehensive analysis of recent research (2018-2024) retrieved from PubMed and IEEE Xplore databases, encompassing 1304 studies from PubMed and 115 from IEEE, to highlight the current applications, opportunities, and challenges of DL in oncology. Additionally, this paper explores emerging solutions, including federated learning, explainable artificial intelligence, and synthetic data generation, to address these barriers. The review also emphasizes the importance of interdisciplinary collaboration, the integration of next-generation artificial intelligence techniques, and the adoption of multimodal data approaches to improve diagnostic precision and support personalized cancer treatment. By systematically analyzing key developments and challenges, this review aims to guide future research and DL technologies in oncology, promoting equitable and impactful advancements in cancer care. "
"Machine learning integration for early-stage cancer detection using multi-modal imaging analysis","https://scispace.com/paper/machine-learning-integration-for-early-stage-cancer-65d08kft2j2v","2025","Repository","","","10.5281/zenodo.16900345","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review summarizes ML use in early cancer detection but lacks original quantitative metrics; discusses multimodal imaging-genomics concepts without new integration; provides no direct model comparisons.","Introduction: Early detection of cancer plays a crucial role in improving patient outcomes and survival rates. Traditional diagnostic methods often face challenges in accurately identifying early-stage cancers, leading to delayed treatment and reduced chances of successful intervention. Progress achieved in AI within the past few years, specifically, ML and DL, significantly enhanced the potential to diagnose and predict cancer. This review analyses the use of multi-modal imaging data, genomics, and clinical parameters to employ ML approaches in early cancer diagnosis. Combining machine learning with imaging data derived from various modes has proven to be a viable method for improving the diagnostic accuracy of early cancer detection. This review will look at the current state of machine learning in early-stage cancer diagnosis, emphasizing multi-modal imaging analysis. Materials and Methods: The literature search included several databases which included PubMed, Scopus, Web of Sciences, and Google Scholar. The search keywords were based on areas of interest such as machine learning, multi-modal imaging, early cancer detection, and integration approaches. The search was limited to articles and papers found in peer-reviewed journals, conference proceedings, and preprints of articles on machine learning integration and multi-modal image analysis for early detection of Cancer. Results: The review findings showed that multi-modal imaging data can be integrated successfully using machine learning algorithms, especially deep learning models, for early cancer diagnosis. These models can harmonize data gathered from MRI, CT, and PET and even tap into advanced machine-learning algorithms to increase the rate of cancer detection and staging. Many experiments have shown that deep learning models including CNNs and RNNs can simplify multi-modal imaging features as well as combine clinical and genomic data streams. Moreover, the combination of genomic, clinical, and demographic databases with images improves the performance of these models even more. Discussion: The combination of Artificial Intelligence and multi-modal imaging has the advantage of having a higher sensitivity and specificity of early cancer metastases and allows for specific therapies for each patient as well as biomarkers to be found. However, areas like data quality, standardization, and algorithm interpretability for intricate models should be resolved to promote their use in clinical practice. Conclusion: A combination of multiple imaging data with the help of ML has been found to provide better results in breast cancer, lung cancer, and prostate cancer. Nevertheless, some open problems are still to be solved regarding the data heterogeneity, the scale of the datasets, multi-modal, and the interpretability and generalization of the developed ML models. Additionally, certain technical factors like the security of the data, and possible bias, have to be treated for these approaches to be effectively implemented in clinical settings. As a point of fact, these approaches use the advantages of the different imaging methods and are integrated with other useful information sources for enhancing diagnostic information, which will benefit the patients. "
"Integrating multi-omic liquid biopsies and artificial intelligence: The next frontier in early cancer detection","https://scispace.com/paper/integrating-multi-omic-liquid-biopsies-and-artificial-it26t5bq4hzm","2025","Journal Article","","Esmaeil Mahmoudi
Mona Ebrahimi
Elham Bahramian","10.1016/j.intonc.2025.12.002","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review discusses AI‑driven multi‑omic liquid biopsies but provides no original detection model, no imaging‑genomics fusion, and no comparative performance data.","The integration of multi-omic liquid biopsies with artificial intelligence (AI) represents a rapidly evolving frontier in early cancer detection, offering the potential to enhance personalized medicine and improve patient outcomes. This review explores the current state and emerging directions of this approach, focusing on the synergistic value of combining genomics, epigenomics, transcriptomics, proteomics, and metabolomics with AI-driven analytics. We discuss advances in multi-analyte blood tests such as CancerSEEK, which have demonstrated promising multi-cancer detection capabilities in early studies, as well as efforts to integrate liquid biopsy data with imaging modalities to improve diagnostic performance. The review also highlights ongoing challenges, including the need for greater analytical sensitivity, improved specificity for early-stage disease, standardization of workflows, and harmonization with existing screening modalities. We outline the prospective—but still largely investigational—impact of these technologies on cancer management, including early detection, treatment monitoring, and minimal residual disease assessment, along with their potential economic implications. Ultimately, we envision a future in which multi-omic liquid biopsies integrated with AI may contribute to more effective, noninvasive cancer detection strategies, while recognizing that substantial validation, regulatory approval, and health-system integration are required before widespread clinical adoption can occur. "
"Artificial Intelligence in Cancer Diagnosis: A Systematic Review","https://scispace.com/paper/artificial-intelligence-in-cancer-diagnosis-a-systematic-8i0kdlg5","2023","Posted Content","","Physical Security Professional","10.21203/rs.3.rs-3017637/v1","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review summarizes AI methods and their reported metrics but provides no original AI model, no multimodal integration, and no direct comparative experiments.","Abstract The application of artificial intelligence (AI) in cancer detection has shown promising potential to improve diagnostic accuracy and patient outcomes. This review aims to provide a comprehensive overview of the current state of AI in cancer detection and its implications in clinical practice. We systematically reviewed the literature to identify relevant studies on AI- based cancer detection. The review covers various cancer types, including breast, lung, skin, and others. We examined the AI algorithms used, such as machine learning and deep learning, and the diagnostic modalities employed, such as medical imaging and pathology. Performance metrics, including sensitivity, specificity, and accuracy, were assessed to evaluate the effectiveness of AI algorithms in cancer detection. The key findings demonstrate that AI algorithms can achieve comparable or even superior performance to human experts in detecting and classifying cancer. However, challenges such as data quality, interpretability, and algorithm robustness need to be addressed for successful implementation in clinical settings. AI in cancer detection holds great promise for improving early diagnosis, personalized treatment, and patient outcomes. Further research and collaboration between clinicians, researchers, and AI experts are essential to overcome challenges and realize the full potential of AI in cancer detection. "
"Deep Learning for Cancer Detection Based on Genomic and Imaging Data: A Comprehensive Review.","https://scispace.com/paper/deep-learning-for-cancer-detection-based-on-genomic-and-3vqozopfi5zz","2025","Journal Article","","Xinyu Wang
Chun Fu Su","10.2147/cmar.s533522","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review summarizes existing deep‑learning methods but provides no original metrics, no new multimodal dataset, and no direct model comparisons.","Cancer is a major global health challenge, and early detection is critical to improving survival rates. Advances in genomics and imaging technologies have made the integration of genomic and imaging data a common practice in cancer detection. Deep learning, especially Convolutional Neural Networks (CNNs), demonstrates substantial potential for early cancer diagnosis by autonomously extracting valuable features from large-scale datasets, thus enhancing early detection accuracy. This review summarizes the progress in deep learning applications for cancer detection using genomic and imaging data. It examines current models, their applications, challenges, and future research directions. Deep learning introduces innovative approaches for precision diagnosis and personalized treatment, facilitating advancements in early cancer screening technologies. "
"Cancer genomics and ai: creating ai models to identify genomic alterations in cancer, enhancing early detection and personalized treatment strategies","https://scispace.com/paper/cancer-genomics-and-ai-creating-ai-models-to-identify-7x3ebq4nuhjv","2025","Repository","","EMINOV Ravshanjon Ikromjon Ugli","10.5281/zenodo.14759505","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a high-level overview of AI in cancer genomics without reporting AUC, sensitivity, specificity, multimodal imaging data, or direct model comparisons.","The integration of artificial intelligence (AI) and cancer genomics has transformed precision oncology, enabling early detection and personalized treatment strategies. AI techniques, including machine learning and deep learning, analyze complex genomic data to uncover mutations and identify biomarkers. These approaches enhance early cancer detection through tools like liquid biopsies and optimize personalized treatments by predicting drug responses and refining immunotherapy. Despite significant advancements, challenges such as data privacy, model interpretability, and clinical integration remain. Future efforts focus on interdisciplinary collaboration, explainable AI, and federated learning to overcome these hurdles and further revolutionize cancer care "
"Computer-Aided Cancer Diagnosis via Machine Learning and Deep Learning:
  A comparative review","https://scispace.com/paper/computer-aided-cancer-diagnosis-via-machine-learning-and-2am4auhf","2022","Posted Content","","H. U. Koca","10.48550/arxiv.2210.11943","https://scispace.com/pdf/computer-aided-cancer-diagnosis-via-machine-learning-and-2am4auhf.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review discusses AI applications broadly but lacks original detection models with AUC/sensitivity/specificity, offers only general mention of imaging‑genomics links, and provides no direct model comparisons.","The past years have seen a considerable increase in cancer cases. However, a cancer diagnosis is often complex and depends on the types of images provided for analysis. It requires highly skilled practitioners but is often time-consuming and error-prone. If Machine Learning and deep learning algorithms have been widely used, a comprehensive review of the techniques used from the pre-processing steps to the final prediction is lacking. With this review, we aim to provide a comprehensive overview of the current steps required in building efficient and accurate machine learning algorithm for cancer prediction, detection and classification. To do so, we compile the results of cancer related study using AI over the past years. We include various cancers that encompass different types of images, and therefore different related techniques. We show that tremendous improvements have been made in the early detection of cancerous tumors and tissues. The techniques used are various and often problem-tailored and our findings is confirmed through the study of a large number of research. Moreover, we investigate the approaches best suited for different types of images such as histology, dermoscopic, MRI, etc. With this work, we summarize the main finding over the past years in cancer detection using deep learning techniques. We discuss the challenges of cancer research related to the large discrepancies in the images, and we provide some notable results in the field for lung, breast, and skin cancers. "
"The Application of Artificial Intelligence in Detecting Breast Lesions with Medical Imaging: A Literature Review","https://scispace.com/paper/the-application-of-artificial-intelligence-in-detecting-1d7vjh5n","2023","Journal Article","International Journal of Biomedicine","Salem Saeed Alghamdi","10.21103/article13(1)_ra1","https://scispace.com/pdf/the-application-of-artificial-intelligence-in-detecting-1d7vjh5n.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review summarizes existing AI methods but provides no original model, no quantitative AUC/sensitivity/specificity, no genomics data, and no direct performance comparisons.","Breast cancer is considered the most commonly diagnosed cancer among women worldwide. Several studies have shown that mammography screening could significantly decrease breast cancer mortality. Despite other screening modalities, such as MRI and ultrasound (US), mammography plays a vital role in detecting cancer and following up on it, due to its qualities and properties. The aim of this literature review is to look at recent studies that use AI with different medical imaging mammograms, MRI, and US, in detecting breast lesions. A literature search was carried out using Google Scholar, Semantic Scholar, medRxiv, and PubMed databases for a period of the last four years. The search terms were ""breast lesion,"" ""breast imaging,"" and ""breast cancer"" combined with ""machine learning,"" ""deep learning,"" and ""artificial intelligence."" Among these studies, only the medical imaging related to breast lesions with AI was selected. A total of 25 articles were extracted from the following databases: 4 Google Scholar, 3 Semantic Scholar, 4 medRxiv, and 14 PubMed. Only papers related to breast lesions with medical imaging modalities were extracted, and all duplications were removed. In this study, the papers were reviewed by medical imaging professionals. This literature review summarizes the most recent articles on utilizing AI in detecting breast lesions for different imaging modalities: mammogram, ultrasound, and MRI. Reviewed studies showed that AI performance in detecting lesions was significant, associated with high accuracy, sensitivity, and specificity for these modalities."
"AI-Enabled Lung Cancer Prognosis","https://scispace.com/paper/http://arxiv.org/abs/2402.09476v1","2024","Preprint","","Mahtab Darvish
Ryan Trask
Patrick Tallon
Mélina Khansari
Lei Ren
Michelle Hershman
Bardia Yousefi","","https://arxiv.org/pdf/2402.09476v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on AI-driven prognosis for NSCLC, lacking early detection, imaging-genomics fusion, and comparative model analysis.","Lung cancer is the primary cause of cancer-related mortality, claiming approximately 1.79 million lives globally in 2020, with an estimated 2.21 million new cases diagnosed within the same period. Among these, Non-Small Cell Lung Cancer (NSCLC) is the predominant subtype, characterized by a notably bleak prognosis and low overall survival rate of approximately 25% over five years across all disease stages. However, survival outcomes vary considerably based on the stage at diagnosis and the therapeutic interventions administered. Recent advancements in artificial intelligence (AI) have revolutionized the landscape of lung cancer prognosis. AI-driven methodologies, including machine learning and deep learning algorithms, have shown promise in enhancing survival prediction accuracy by efficiently analyzing complex multi-omics data and integrating diverse clinical variables. By leveraging AI techniques, clinicians can harness comprehensive prognostic insights to tailor personalized treatment strategies, ultimately improving patient outcomes in NSCLC. Overviewing AI-driven data processing can significantly help bolster the understanding and provide better directions for using such systems."
"Artificial Intelligence for the Prediction and Early Diagnosis of Pancreatic Cancer: Scoping Review","https://scispace.com/paper/artificial-intelligence-for-the-prediction-and-early-24va6ydw","2023","Journal Article","Journal of Medical Internet Research","Zainab Jan
Farah El Assadi
Alaa Abd-Alrazaq
Puthen V. Jithesh","10.2196/44248","https://scispace.com/pdf/artificial-intelligence-for-the-prediction-and-early-24va6ydw.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a scoping review of AI applications in pancreatic cancer diagnosis without original models, performance metrics, multimodal integration, or direct comparative experiments.","Background Pancreatic cancer is the 12th most common cancer worldwide, with an overall survival rate of 4.9%. Early diagnosis of pancreatic cancer is essential for timely treatment and survival. Artificial intelligence (AI) provides advanced models and algorithms for better diagnosis of pancreatic cancer. Objective This study aims to explore AI models used for the prediction and early diagnosis of pancreatic cancers as reported in the literature. Methods A scoping review was conducted and reported in line with the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews) guidelines. PubMed, Google Scholar, Science Direct, BioRXiv, and MedRxiv were explored to identify relevant articles. Study selection and data extraction were independently conducted by 2 reviewers. Data extracted from the included studies were synthesized narratively. Results Of the 1185 publications, 30 studies were included in the scoping review. The included articles reported the use of AI for 6 different purposes. Of these included articles, AI techniques were mostly used for the diagnosis of pancreatic cancer (14/30, 47%). Radiological images (14/30, 47%) were the most frequently used data in the included articles. Most of the included articles used data sets with a size of <1000 samples (11/30, 37%). Deep learning models were the most prominent branch of AI used for pancreatic cancer diagnosis in the studies, and the convolutional neural network was the most used algorithm (18/30, 60%). Six validation approaches were used in the included studies, of which the most frequently used approaches were k-fold cross-validation (10/30, 33%) and external validation (10/30, 33%). A higher level of accuracy (99%) was found in studies that used support vector machine, decision trees, and k-means clustering algorithms. Conclusions This review presents an overview of studies based on AI models and algorithms used to predict and diagnose pancreatic cancer patients. AI is expected to play a vital role in advancing pancreatic cancer prediction and diagnosis. Further research is required to provide data that support clinical decisions in health care."
"Are Biological Systems More Intelligent Than Artificial Intelligence?","https://scispace.com/paper/http://arxiv.org/abs/2405.02325v7","2024","Preprint","","Michael Timothy Bennett","","https://arxiv.org/pdf/2405.02325v7","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper discusses theoretical intelligence and delegation, not cancer detection, imaging-genomics, or comparative AI model evaluation.","Are biological self-organising systems more ``intelligent'' than artificial intelligence (AI)? If so, why? I address this question using a mathematical framework that defines intelligence in terms of adaptability. Systems are modelled as stacks of abstraction layers (\emph{Stack Theory}) and compared by how effectively they delegate agentic control down their stacks. I illustrate this using computational, biological, military, governmental, and economic systems. Contemporary AI typically relies on static, human-engineered stacks whose lower layers are fixed during deployment. Put provocatively, such systems resemble inflexible bureaucracies that adapt only top-down. Biological systems are more intelligent because they delegate adaptation. Formally, I prove a theorem (\emph{The Law of the Stack}) showing that adaptability at higher layers is bottlenecked by adaptability at lower layers. I further show that, under standard viability assumptions, maximising adaptability is equivalent to minimising variational free energy, implying that delegation is necessary for free-energy minimisation. Generalising bioelectric accounts of cancer as isolation from collective informational structures, I analyse cancer-like failure modes in non-biological systems when delegation is inadequate. This yields design principles for building robust systems via delegated control, and reframes hybrid agents (e.g. organoids or human--AI systems) as weak boundary-condition design problems in which constraints shape low-level policy spaces while preserving collective identity."
"Use of Artificial Intelligence in prostate MRI: A rapid scoping review highlighting limited evidence in screening context.","https://scispace.com/paper/42142521","2026","Journal Article","European journal of radiology","Singh
Salazar Gutiérrez
Rouviere
Giganti
Otero-García
van den Bergh
Roobol
Venderbos
Collen
van Poppel
Basu
Chandran","10.1016/j.ejrad.2026.112930","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper is a scoping review of AI use in prostate MRI screening; it does not present original AI models, performance metrics, multimodal integration, or direct method comparisons.","Artificial Intelligence (AI) is seen as a potential solution to alleviate workforce demands arising from growing use of magnetic resonance imaging (MRI) in prostate cancer (PCa) screening. We aimed to synthesize the evidence on use of AI in prostate MRI readings in asymptomatic men in PCa screening settings."
